"PlayerID","Name","Season_future","Start_IP_future","ERA_Minus_future","Age","Start_IP_past1","xFIP_Minus_past1","SIERA_past1","K_Rate_Plus_past1","K_BB_Rate_past1","botStf_past1","Stuff_Plus_past1","Pitching_Plus_past1"
"17606_664299","Cristian Javier",2022,134.03000183,69.61704782,25,48.060000228,100.2802144,3.993420331,129.7107763,0.1907,48.50280993,101.1055758,99.692
"22250_669302","Logan Gilbert",2022,185.05999907,86.03500384,25,119.02999955,97.73446088,3.873308318,110.4057722,0.1988,55.57724557,105.3408683,103.2520057
"13781_622072","Alex Wood",2022,130.05999907,131.0210802,31,138.05999907,80.7947327,3.602515416,111.4605589,0.1932,51.17547209,98.66178108,99.93520408
"15890_622663","Luis Severino",2022,102,83.51786752,28,0,NA,NA,NA,NA,NA,NA,NA
"16358_641816","Tyler Mahle",2022,120.05999967,104.9588771,27,180,87.84190412,3.815537674,118.6891483,0.1924,49.25053707,104.7459824,104.72285
"6562_502171","Alex Cobb",2022,149.05999907,95.83872229,34,93.029999541,79.10995338,3.828716681,108.189053,0.1654,41.15311997,92.12878884,100.4375396
"20070_663559","Bailey Falter",2022,76.059999085,92.37743743,25,0,NA,NA,NA,NA,NA,NA,NA
"6632_471911","Carlos Carrasco",2022,152,102.8574234,35,53.060000228,101.6801571,4.439374694,90.50137006,0.135,50.41356755,94.54211712,102.5635135
"11762_592789","Noah Syndergaard",2022,132.06000024,100.0201293,29,0,NA,NA,NA,NA,NA,NA,NA
"14444_547943","Hyun Jin Ryu",2022,27,148.0021187,35,169,92.15934273,4.165536407,88.50500128,0.1512,39.41460419,83.26856823,98.63486204
"17312_657006","Justin Steele",2022,119,79.31257931,26,43.060000228,110.9157173,4.890404235,84.90159756,0.0938,54.43883316,97.58954608,95.08968363
"13743_608331","Max Fried",2022,185.03000183,60.36227866,28,165.05999907,81.0897513,3.763119921,101.6166208,0.1754,51.73245264,98.31025842,103.3805403
"17192_656222","Jalen Beeks",2022,12.059999943,76.66200415,28,0,NA,NA,NA,NA,NA,NA,NA
"21318_656731","Tylor Megill",2022,41.029999541,129.8470735,26,89.059999085,92.19586094,3.84927093,112.0545459,0.19,49.13877806,96.03056628,101.910296
"14916_592351","Jon Gray",2022,127.02999955,99.59051039,30,149,95.00115656,4.165934034,104.5796729,0.1537,41.82503942,92.75814596,97.81372781
"12730_607259","Nick Martinez",2022,52.029999541,112.2643116,31,0,NA,NA,NA,NA,NA,NA,NA
"11674_592791","Jameson Taillon",2022,177.03000183,102.7491529,30,144.03000183,109.3783935,4.3345805,100.7303903,0.1592,49.23149132,105.9009279,106.867946
"17295_664285","Framber Valdez",2022,201.03000183,73.15834996,28,134.05999907,83.82808049,3.791851754,94.81210268,0.1171,51.52627978,99.12282974,97.03366906
"16977_592866","Trevor Williams",2022,38.060000228,108.6275138,30,68.059999943,96.34636706,4.338371143,94.23418067,0.1377,44.83755903,87.94637177,99.38657382
"25880_686613","Hunter Brown",2022,12,38.96610986,23,0,NA,NA,NA,NA,NA,NA,NA
"23550_676879","Aaron Ashby",2022,88,118.566046,24,11.059999943,83.72250602,3.996100492,74.24593168,0.0962,54.23750249,87.94870466,99.42487047
"12768_543243","Sonny Gray",2022,119.05999907,80.45374517,32,135.03000183,86.13002061,3.854439589,115.6371418,0.1826,55.42696448,108.1806757,102.1186486
"16502_642232","Ryan Yarbrough",2022,40.029999541,120.3787687,30,117,104.1537557,4.543232452,76.25421364,0.1374,48.75092929,83.39195592,98.49421488
"26260_686753","Drey Jameson",2022,24.030000114,36.49290488,24,0,NA,NA,NA,NA,NA,NA,NA
"27646_682847","Luis L. Ortiz",2022,16,109.6971727,23,0,NA,NA,NA,NA,NA,NA,NA
"12808_605182","Mike Clevinger",2022,112.02999955,110.8787584,31,0,NA,NA,NA,NA,NA,NA,NA
"15873_640455","Sean Manaea",2022,153,132.0951472,30,179.03000183,84.73501696,3.679380773,111.629808,0.2029,46.43660268,97.98242424,98.66457912
"17735_641302","Tyler Alexander",2022,80,147.3722948,27,66.059999085,116.3157508,4.730763437,81.44667661,0.1227,41.42925428,85.0131323,100.5402724
"20531_676710","Kutter Crawford",2022,61.029999541,131.8367947,26,0,NA,NA,NA,NA,NA,NA,NA
"11156_518876","Merrill Kelly",2022,200.03000183,83.11094733,33,158,99.90660641,4.425011134,83.60861178,0.1334,41.43986896,91.66895128,100.3535921
"16933_622694","Elieser Hernández",2022,46.060000228,147.1361773,27,51.060000228,101.8431037,4.071954153,101.0477962,0.1733,43.7224244,88.44413203,100.6564792
"4676_450203","Charlie Morton",2022,172,105.8516991,38,185.05999907,77.69171869,3.53454491,122.5647124,0.209,54.81867169,108.8351424,104.5483752
"9803_571945","Miles Mikolas",2022,199.03000183,83.47591874,33,44.060000228,100.640787,4.552992718,71.49608211,0.1075,35.58601773,91.55056497,102.3079096
"26410_666201","Alek Manoah",2022,196.05999907,58.56624041,24,111.05999907,97.3528805,3.875688444,120.0441028,0.1895,53.84113934,100.3807922,99.53635377
"11490_592717","Aaron Sanchez",2022,43.090000057,178.1014202,29,30.030000114,107.9837898,4.557410286,77.40929186,0.0977,41.33644404,87.48487903,90.73608871
"19666_669920","Jason Alexander",2022,56,118.9264291,29,0,NA,NA,NA,NA,NA,NA,NA
"4806_448179","Rich Hill",2022,124.02999955,103.7043212,42,155.05999907,109.6229339,4.410724425,97.94252115,0.146,42.72651407,106.963667,102.8371672
"27691_686973","Louie Varland",2022,26,99.34731839,24,0,NA,NA,NA,NA,NA,NA,NA
"22487_670912","Johan Oviedo",2022,35.060000228,86.83598506,24,57.060000228,126.346628,5.487710573,74.39813726,0.0443,48.75487369,89.60186092,92.48932419
"23920_678394","Brayan Bello",2022,52.029999541,116.926016,23,0,NA,NA,NA,NA,NA,NA,NA
"11760_592767","Drew Smyly",2022,106.02999955,86.64739965,33,115.05999907,104.6454982,4.411825273,93.33021523,0.1417,46.1388243,95.2497998,96.74524525
"19374_621111","Walker Buehler",2022,65,101.7400976,27,207.05999907,83.93210153,3.727904203,111.5865235,0.1963,58.5849001,120.163541,108.780801
"14078_608379","Michael Wacha",2022,127.02999955,80.6655577,30,107.02999955,92.25554898,4.070390329,98.34164118,0.1689,49.19473812,99.38723529,102.3832941
"17594_656605","Mitch Keller",2022,153,96.07464796,26,100.05999907,115.6055609,4.97817928,83.96986662,0.0915,37.28252468,91.19509698,95.55544181
"19665_657140","Kyle Wright",2022,180.03000183,77.8489882,26,0,NA,NA,NA,NA,NA,NA,NA
"26079_689225","Beau Brieske",2022,81.059999085,107.5658058,24,0,NA,NA,NA,NA,NA,NA,NA
"19805_641447","Daniel Castano",2022,31.060000228,111.9133824,27,17.030000114,125.8502167,5.629813248,54.99698637,0.0385,40.84809754,76.72852113,95.03802817
"12917_605164","Dylan Bundy",2022,140,127.4742215,29,85.059999085,110.3184149,4.643345763,88.16410128,0.1203,40.56266976,94.83014968,98.2212402
"9323_571578","Patrick Corbin",2022,152.05999907,155.3406666,32,171.05999907,101.0192014,4.609615376,81.6826077,0.1105,46.44014881,85.38075802,95.04682945
"19447_663776","Patrick Sandoval",2022,148.05999907,73.46522599,25,79.059999085,86.54903442,3.975921392,113.0665929,0.1667,53.0313595,95.11740798,96.65981595
"18679_642547","Freddy Peralta",2022,76.029999541,78.52263961,26,142.03000183,86.33629681,3.412568447,142.4895561,0.239,61.23338627,109.8806615,104.1672026
"8246_502179","Paolo Espino",2022,83.059999085,143.0499425,35,86,104.0312295,4.453917509,85.79529887,0.1417,42.0688761,97.61286337,102.0138081
"17578_664141","JT Brubaker",2022,144,114.2678882,28,124.02999955,94.17796873,4.039940935,102.8586759,0.1691,41.69136382,88.89072165,97.69597938
"22264_669358","Shane Baz",2022,27,134.8686994,23,13.030000114,67.20465386,2.682010666,159.3772097,0.3061,67.13132424,132.7439394,114.0393939
"14120_621121","Lance McCullers Jr.",2022,47.060000228,58.85786095,28,162.03000183,86.18837713,4.015203462,117.3452248,0.1594,57.66834133,106.1764642,101.6568811
"2233_425794","Adam Wainwright",2022,191.05999907,93.95010362,40,206.03000183,91.06475409,4.134400234,90.14723409,0.1498,39.77800004,108.5263158,102.6829276
"22201_669022","MacKenzie Gore",2022,65.029999541,111.5082388,23,0,NA,NA,NA,NA,NA,NA,NA
"25756_666374","Matt Brash",2022,20,205.7239764,24,0,NA,NA,NA,NA,NA,NA,NA
"21224_641927","Bailey Ober",2022,56,83.86461942,26,92.029999541,93.76635271,3.821534426,109.895983,0.2032,41.58281873,86.87466125,101.5350949
"19618_663855","Jordan Hicks",2022,26.030000114,138.4944073,25,0,NA,NA,NA,NA,NA,NA,NA
"10123_502043","Kyle Gibson",2022,167.05999907,124.0803346,34,177.05999907,95.21118014,4.353773368,89.82694094,0.1245,48.53028175,97.26362434,97.47080428
"17149_593334","Domingo Germán",2022,70.059999085,97.10916968,29,91,102.5546889,4.144333617,100.7379842,0.1662,50.13988733,104.5204986,102.3975762
"22267_669373","Tarik Skubal",2022,117.05999907,90.37302275,25,143.05999907,92.72459946,3.87146421,113.6470657,0.1895,50.87949691,91.33642001,101.1042993
"22815_672715","Luis Patiño",2022,20,218.4872931,22,68.029999541,124.9793552,4.945211321,90.80794501,0.113,63.89084473,120.2540563,108.0577815
"23735_677651","Luis Garcia",2022,157.03000183,96.58993068,25,149.03000183,91.27722166,3.948540633,113.9862545,0.1823,50.86924995,105.4211857,101.4523632
"21023_661309","Adrián Martínez",2022,57.060000228,168.4988931,25,0,NA,NA,NA,NA,NA,NA,NA
"21537_663738","Daniel Lynch IV",2022,131.05999907,126.838334,25,68,121.7309888,5.190893287,76.72768483,0.0772,47.73369984,85.43450199,93.32151394
"22387_670174","Josh Winckowski",2022,67.029999541,139.5628486,24,0,NA,NA,NA,NA,NA,NA,NA
"11486_592662","Robbie Ray",2022,189,99.88465708,30,193.03000183,78.69970266,3.211452433,139.19447,0.2536,57.21678733,103.1543513,103.1094995
